generation,best,average,worst
0,423943,435168.64,453769
1,422444,431682.60,445790
2,422062,429287.80,439918
3,420094,427930.18,443984
4,420094,428109.26,441635
5,417245,427275.45,442196
6,416216,426290.88,437967
7,414870,425155.88,437647
8,414870,424017.11,436726
9,414870,423117.91,440909
10,414641,420989.29,432678
11,413807,419915.87,433935
12,413663,418781.50,432973
13,412646,417675.94,434759
14,412646,416855.37,433434
15,412305,416398.85,434050
16,412143,415390.11,430744
17,411792,414442.27,430296
18,410961,413761.35,424301
19,410483,413704.32,424785
20,410483,413109.95,424944
21,409077,412621.74,423191
22,408733,411745.38,419741
23,408723,410971.64,416583
24,408723,410304.97,417888
25,408630,409785.12,417640
26,408630,409641.19,414164
27,408450,409839.97,415206
28,408324,409455.49,413378
29,407125,409606.23,413389
30,407125,409457.14,418380
31,406992,409770.78,417342
32,406992,409965.65,418442
33,406992,409625.67,418320
34,406992,409072.56,416018
35,406992,408344.51,416831
36,406841,407378.18,420000
37,406742,407578.46,414264
38,406662,407646.86,416349
39,406563,407585.32,415565
40,406538,407094.21,412546
41,406538,407207.67,413570
42,405879,407360.52,421151
43,405736,407279.02,414200
44,405350,407636.78,421371
45,405350,407151.78,415415
46,405312,407065.12,417456
47,404866,406858.73,413755
48,404866,406106.32,413903
49,404847,406384.42,418792
50,404847,406429.45,414583
51,403628,406100.42,414116
52,403628,406057.56,411918
53,403420,406223.46,413556
54,403376,406462.66,417501
55,403376,406014.39,414287
56,403214,405549.89,416618
57,402527,405170.08,414368
58,402490,404655.34,416122
59,402490,404177.77,410845
60,402196,404257.45,413646
61,402052,403849.29,410682
62,401982,403709.84,414158
63,401982,402982.42,408560
64,401037,403117.00,409948
65,401037,402744.34,407984
66,401037,402008.59,405814
67,400084,401696.78,415384
68,400084,401514.35,405958
69,400034,401657.60,409067
70,399729,401454.79,406026
71,399058,401079.11,406845
72,399058,401007.52,410013
73,399058,400665.63,404953
74,398941,400841.60,407085
75,398941,400480.80,406463
76,397669,399785.66,407279
77,397482,399565.14,403522
78,397342,398932.16,403869
79,397257,398111.05,401063
80,396767,398064.64,404635
81,396767,398088.53,406729
82,396433,398131.63,403165
83,396433,398109.72,406435
84,396433,398182.40,407081
85,396419,397319.73,404271
86,396225,396739.35,400559
87,395796,396900.48,402264
88,395796,396771.44,402642
89,395796,397002.98,405620
90,395780,396874.98,408513
91,395780,396449.02,407881
92,395656,396070.08,400630
93,395656,396422.95,403524
94,395004,396297.44,402335
95,395004,396521.13,404217
96,394675,396834.53,402381
97,394675,397240.60,408394
98,394522,397203.15,403635
99,394522,396084.46,401014
