generation,best,average,worst
0,33491,36149.46,38517
1,33469,35420.14,37781
2,33469,35006.28,37250
3,33444,34810.48,37932
4,33261,34336.30,37328
5,33241,34003.87,36579
6,33241,34089.90,37458
7,33167,34082.14,36810
8,33167,33878.29,35720
9,33129,33646.40,35467
10,33104,33695.23,35654
11,32874,33893.96,35969
12,32874,33583.27,36058
13,32874,33433.32,36364
14,32765,33249.82,35636
15,32765,33115.50,36595
16,32685,32991.21,35672
17,32674,33054.36,35152
18,32674,33026.73,34805
19,32674,33084.10,36420
20,32653,32936.77,34625
21,32653,33104.92,34672
22,32653,33074.58,36379
23,32551,33004.98,35403
24,32551,32954.70,35663
25,32551,32967.41,34765
26,32522,33019.16,34613
27,32522,32809.28,36384
28,32522,32720.73,34604
29,32522,32670.79,34187
30,32522,32616.12,34829
31,32522,32708.04,36439
32,32522,32646.31,34363
33,32507,32639.11,34730
34,32507,32733.49,36439
35,32507,32647.96,34502
36,32433,32659.24,33900
37,32433,32674.38,34772
38,32433,32769.44,34596
39,32433,32685.73,34777
40,32433,32666.17,34511
41,32433,32577.39,34251
42,32351,32551.48,35239
43,32351,32530.04,34979
44,32351,32582.15,35239
45,32351,32608.66,34554
46,32351,32499.00,34755
47,32351,32515.15,34979
48,32351,32439.01,33476
49,32205,32466.59,34295
50,32205,32506.51,34059
51,32205,32532.71,35954
52,32205,32461.68,34747
53,32205,32344.47,35025
54,32205,32423.44,34039
55,32205,32416.24,35988
56,32205,32300.27,34284
57,32205,32343.22,34496
58,32205,32463.31,35988
59,32205,32320.26,34165
60,32205,32332.68,34165
61,32205,32367.02,34068
62,32205,32297.88,35988
63,32205,32288.88,33790
64,32205,32354.42,34099
65,32205,32349.20,34300
66,32205,32328.25,34165
67,32205,32360.77,33633
68,32205,32292.00,34496
69,32205,32355.32,34300
70,32205,32368.04,34200
71,32205,32309.30,33783
72,32205,32343.01,34496
73,32205,32353.74,34624
74,32205,32389.02,34496
75,32205,32360.39,34099
76,32205,32336.43,34025
77,32205,32296.59,33910
78,32205,32317.15,34496
79,32205,32471.26,35025
80,32205,32326.41,34068
81,32205,32344.64,35988
82,32205,32319.90,33157
83,32205,32324.10,34496
84,32205,32317.93,34537
85,32205,32353.78,34624
86,32205,32382.18,34496
87,32205,32314.36,33980
88,32205,32381.28,35025
89,32205,32410.69,35988
90,32205,32351.69,34300
91,32205,32311.00,34537
92,32205,32387.99,34068
93,32205,32336.21,34472
94,32205,32347.95,34472
95,32205,32278.92,33288
96,32205,32319.41,34300
97,32205,32289.27,33427
98,32205,32391.28,34537
99,32205,32333.09,34068
