generation,best,average,worst
0,7676637,7799083.60,8014046
1,7627328,7756710.90,7888056
2,7627328,7742728.76,7883308
3,7627328,7725900.92,7844229
4,7621671,7710895.40,7846749
5,7621671,7702566.73,7852311
6,7621671,7699546.76,7862972
7,7621671,7697293.12,7863139
8,7605876,7691944.17,7850305
9,7605876,7672265.02,7806973
10,7564069,7655618.28,7815041
11,7564069,7633897.16,7767669
12,7564069,7620998.90,7748429
13,7564069,7620419.44,7820923
14,7556771,7619521.97,7795385
15,7556234,7603887.94,7750722
16,7556234,7585027.29,7752939
17,7549052,7570562.95,7701773
18,7548077,7566085.78,7704738
19,7541002,7567047.09,7704344
20,7537919,7563619.25,7712294
21,7531828,7564624.29,7724305
22,7527395,7556965.55,7737793
23,7526502,7552457.96,7656706
24,7525918,7548945.47,7673120
25,7513507,7542692.78,7591559
26,7513507,7540580.58,7611794
27,7510287,7536820.91,7657186
28,7497807,7530741.23,7578771
29,7497807,7529794.65,7579213
30,7497807,7521107.58,7581186
31,7494244,7515974.87,7572313
32,7491007,7507111.68,7561830
33,7490821,7503045.65,7563383
34,7488865,7500860.72,7557073
35,7482633,7499870.89,7550305
36,7479583,7498778.54,7549220
37,7479160,7496327.52,7544634
38,7477862,7493409.09,7547579
39,7476276,7490180.19,7550813
40,7472730,7488208.74,7543599
41,7466211,7486013.06,7534629
42,7466211,7492367.80,7541763
43,7464273,7486739.10,7537997
44,7464273,7485472.02,7543726
45,7456436,7485481.03,7537984
46,7456436,7483791.49,7535568
47,7454912,7480560.89,7546849
48,7452832,7480854.88,7541745
49,7451875,7484714.52,7536247
50,7447919,7473044.24,7521492
51,7446563,7465330.93,7511686
52,7440942,7460414.11,7510869
53,7440942,7457713.27,7516606
54,7438249,7457776.09,7511864
55,7435567,7452513.61,7502228
56,7431947,7448849.33,7495120
57,7430990,7446695.28,7497237
58,7429794,7445411.10,7487004
59,7420637,7441045.97,7488311
60,7420637,7434905.47,7475054
61,7420637,7437466.11,7502048
62,7417179,7435641.84,7489772
63,7416121,7431654.57,7481111
64,7416121,7425104.43,7455048
65,7416121,7424252.19,7472210
66,7414060,7421576.36,7466778
67,7410720,7423791.74,7465042
68,7410720,7421303.39,7455848
69,7409870,7419054.16,7451587
70,7408506,7423194.99,7459491
71,7408506,7420448.10,7464890
72,7407775,7422048.33,7459929
73,7405866,7422779.31,7462258
74,7403210,7423107.45,7474801
75,7403210,7420584.16,7459747
76,7403210,7420740.13,7459353
77,7401227,7416033.51,7465787
78,7401227,7410052.29,7452129
79,7399687,7408558.00,7450268
80,7397643,7410246.16,7451112
81,7396036,7418073.45,7463224
82,7393410,7414731.34,7469039
83,7391028,7410268.50,7480290
84,7390217,7410342.31,7468163
85,7390217,7409552.27,7469756
86,7387274,7407921.44,7457051
87,7387274,7402089.49,7443526
88,7386131,7402275.13,7449063
89,7384552,7398459.22,7449193
90,7383971,7396457.91,7439662
91,7382536,7395984.91,7437740
92,7379048,7398421.71,7437999
93,7379048,7398748.53,7441309
94,7377730,7396968.33,7453839
95,7377730,7396658.97,7448069
96,7375202,7388609.54,7430001
97,7374652,7385781.24,7438096
98,7373110,7381055.20,7431273
99,7364117,7381641.43,7456497
