generation,best,average,worst
0,22096,23880.25,25302
1,22007,23332.75,25544
2,21790,22934.87,25362
3,21790,22683.89,24376
4,21591,22444.08,23993
5,21432,22438.20,24224
6,21432,22334.17,23870
7,20997,22092.97,24709
8,20931,21967.46,24375
9,20931,21891.73,24223
10,20740,21550.21,23489
11,20740,21404.07,23801
12,20702,21195.77,22659
13,20672,21173.12,23590
14,20672,21020.09,23764
15,20582,20930.39,22894
16,20582,20839.19,22480
17,20582,20826.85,22596
18,20582,20783.28,23450
19,20561,20746.51,23571
20,20468,20650.99,21754
21,20373,20703.26,22991
22,20373,20745.51,23497
23,20264,20772.68,23497
24,20264,20823.11,22797
25,20264,20667.95,22777
26,20218,20803.20,23264
27,20205,20621.33,23158
28,20205,20536.87,22310
29,20205,20456.76,22615
30,20205,20423.21,22392
31,20205,20472.49,23060
32,20205,20324.85,21577
33,20205,20336.95,21871
34,20205,20356.78,22791
35,20205,20361.43,22807
36,20205,20333.15,21211
37,20205,20323.85,22268
38,20205,20283.56,22064
39,20200,20315.72,22064
40,20200,20307.95,21503
41,20200,20372.35,22791
42,20200,20305.87,22277
43,20200,20288.93,22277
44,20200,20369.14,22277
45,20200,20335.27,22291
46,20200,20329.87,21804
47,20200,20367.48,22277
48,20200,20324.15,21804
49,20166,20317.85,22085
50,20166,20354.28,22151
51,20166,20405.27,22724
52,20166,20338.59,22724
53,20166,20291.01,22419
54,20166,20340.09,22890
55,20166,20346.61,22899
56,20166,20237.66,21708
57,20166,20277.59,21798
58,20166,20355.67,22899
59,20166,20257.08,21980
60,20166,20310.17,21980
61,20166,20315.41,22041
62,20166,20239.57,21169
63,20166,20253.41,21349
64,20166,20272.88,21754
65,20166,20336.52,22561
66,20166,20297.09,21980
67,20166,20317.76,21264
68,20166,20230.37,21234
69,20166,20313.76,22561
70,20166,20325.48,21552
71,20166,20260.32,21416
72,20166,20322.81,22314
73,20166,20303.23,22899
74,20166,20316.27,21552
75,20166,20353.50,22890
76,20166,20304.90,22041
77,20166,20269.56,22314
78,20166,20241.05,21264
79,20166,20415.57,22899
80,20166,20307.57,22041
81,20166,20263.14,21708
82,20166,20283.69,21318
83,20166,20271.09,21708
84,20166,20261.37,21582
85,20166,20343.04,22899
86,20166,20306.61,22561
87,20166,20261.25,21398
88,20166,20347.40,22419
89,20166,20311.41,22890
90,20166,20335.39,22561
91,20166,20283.42,21582
92,20166,20326.60,22041
93,20166,20272.58,22333
94,20166,20316.40,22333
95,20166,20273.43,21754
96,20166,20290.74,22561
97,20166,20259.19,21754
98,20166,20289.08,21582
99,20166,20282.95,21552
