generation,best,average,worst
0,16158,17220.11,18684
1,16038,16853.22,18193
2,15864,16599.52,17808
3,15864,16545.95,17793
4,15683,16353.93,17491
5,15683,16274.46,17603
6,15497,16106.66,17207
7,15497,15972.10,16993
8,15412,15893.04,17284
9,15412,15683.76,16348
10,15410,15652.02,17149
11,15360,15715.16,17141
12,15360,15670.11,17472
13,15360,15624.18,16584
14,15327,15568.15,17043
15,15316,15474.03,16819
16,15316,15416.06,16855
17,15316,15472.24,16447
18,15244,15441.86,16528
19,15244,15408.75,16368
20,15244,15402.74,16702
21,15168,15451.62,16599
22,15168,15311.98,15970
23,15168,15336.92,16297
24,15168,15314.99,16559
25,15128,15278.23,16405
26,15128,15296.40,16324
27,15128,15282.17,16625
28,15128,15253.39,15898
29,15098,15171.02,15782
30,15098,15173.40,15831
31,15088,15249.53,16515
32,15088,15241.85,16352
33,15088,15187.56,16036
34,15088,15188.57,16299
35,15082,15191.19,16299
36,15082,15198.79,16288
37,15082,15168.09,16299
38,15082,15186.14,16288
39,15082,15233.27,16299
40,15082,15181.39,16823
41,15082,15171.06,16092
42,15082,15142.17,15673
43,15082,15139.10,16278
44,15082,15184.14,16458
45,15082,15189.87,16434
46,15080,15163.53,15929
47,15080,15194.37,16434
48,15080,15144.07,15945
49,15080,15152.15,15879
50,15080,15206.25,16259
51,15080,15193.86,16034
52,15080,15187.95,16245
53,15080,15137.91,15814
54,15080,15170.47,16061
55,15080,15168.06,15788
56,15080,15146.33,15862
57,15080,15166.76,16185
58,15080,15190.12,16380
59,15080,15121.27,15898
60,15080,15152.48,16185
61,15080,15177.34,16093
62,15080,15124.19,15641
63,15080,15141.33,16093
64,15080,15154.09,16423
65,15080,15195.58,16423
66,15080,15170.71,16144
67,15080,15184.23,15978
68,15080,15138.68,16319
69,15080,15177.07,16423
70,15080,15192.12,16423
71,15080,15139.94,15868
72,15080,15175.98,16245
73,15080,15164.55,16380
74,15080,15212.66,16423
75,15080,15187.83,16423
76,15080,15156.26,16037
77,15080,15159.66,16245
78,15080,15143.93,15780
79,15080,15210.38,16177
80,15080,15159.31,16034
81,15080,15150.40,16423
82,15080,15169.70,16093
83,15080,15159.78,15814
84,15080,15134.45,15770
85,15080,15184.34,16245
86,15080,15152.67,16037
87,15080,15152.05,16319
88,15080,15144.61,16380
89,15080,15180.07,16093
90,15080,15172.02,16144
91,15080,15169.79,16185
92,15080,15175.13,16259
93,15080,15148.24,16380
94,15080,15197.02,16423
95,15080,15139.01,15898
96,15080,15149.23,16006
97,15080,15130.21,15724
98,15080,15174.01,16177
99,15080,15153.07,16259
