generation,best,average,worst
0,16903,16903.00,16903
1,16388,16388.00,16388
2,16001,16001.00,16001
3,15884,15884.00,15884
4,15656,15656.00,15656
5,15511,15511.00,15511
6,15386,15386.00,15386
7,15230,15230.00,15230
8,15184,15184.00,15184
9,15154,15154.00,15154
10,15139,15139.00,15139
11,15105,15105.00,15105
12,15089,15089.00,15089
13,15085,15085.00,15085
14,15085,15099.00,15099
15,15085,15111.00,15111
16,15085,15126.00,15126
17,15085,15116.00,15116
18,15085,15124.00,15124
19,15085,15117.00,15117
20,15085,15166.00,15166
21,15085,15162.00,15162
22,15085,15166.00,15166
23,15085,15186.00,15186
24,15085,15188.00,15188
25,15085,15140.00,15140
26,15043,15043.00,15043
27,15014,15014.00,15014
28,14985,14985.00,14985
29,14978,14978.00,14978
30,14976,14976.00,14976
31,14976,14982.00,14982
32,14976,14992.00,14992
33,14976,15006.00,15006
34,14976,14994.00,14994
35,14976,15002.00,15002
36,14976,15006.00,15006
37,14976,14993.00,14993
38,14976,15007.00,15007
39,14976,15022.00,15022
40,14976,15010.00,15010
41,14976,15010.00,15010
42,14976,14990.00,14990
43,14976,15000.00,15000
44,14976,14995.00,14995
45,14976,15001.00,15001
46,14976,15000.00,15000
47,14976,15015.00,15015
48,14976,15035.00,15035
49,14976,15042.00,15042
50,14976,15074.00,15074
51,14976,15043.00,15043
