generation,best,average,worst
0,34153,34153.00,34153
1,33518,33518.00,33518
2,33214,33214.00,33214
3,32901,32901.00,32901
4,32787,32787.00,32787
5,32747,32747.00,32747
6,32655,32655.00,32655
7,32602,32602.00,32602
8,32538,32538.00,32538
9,32538,32547.00,32547
10,32519,32519.00,32519
11,32514,32514.00,32514
12,32514,32516.00,32516
13,32484,32484.00,32484
14,32484,32486.00,32486
15,32484,32489.00,32489
16,32484,32522.00,32522
17,32484,32541.00,32541
18,32484,32542.00,32542
19,32484,32567.00,32567
20,32484,32596.00,32596
21,32484,32574.00,32574
22,32484,32586.00,32586
23,32484,32603.00,32603
24,32484,32599.00,32599
25,32484,32612.00,32612
26,32484,32620.00,32620
27,32484,32588.00,32588
28,32484,32547.00,32547
29,32484,32565.00,32565
30,32484,32582.00,32582
31,32484,32584.00,32584
32,32484,32611.00,32611
33,32484,32652.00,32652
34,32484,32654.00,32654
35,32484,32660.00,32660
36,32484,32606.00,32606
37,32484,32629.00,32629
38,32484,32625.00,32625
39,32484,32617.00,32617
40,32484,32606.00,32606
41,32484,32584.00,32584
42,32484,32603.00,32603
43,32484,32576.00,32576
44,32484,32564.00,32564
45,32484,32531.00,32531
46,32484,32532.00,32532
47,32484,32570.00,32570
48,32484,32560.00,32560
49,32484,32541.00,32541
50,32484,32508.00,32508
51,32484,32538.00,32538
