generation,best,average,worst
0,16158,17220.11,18684
1,16170,17319.93,19115
2,16227,17291.33,18385
3,16098,17214.42,18797
4,16180,17251.35,18379
5,16205,17249.28,18800
6,16350,17367.30,18737
7,16317,17311.38,19358
8,16157,17281.44,18545
9,16203,17266.16,18809
10,15921,17254.33,19023
11,15939,17313.64,18868
12,16157,17292.44,18793
13,16154,17214.19,18810
14,16315,17252.21,18576
15,16120,17335.99,18657
16,16143,17257.34,18451
17,16102,17239.65,18868
18,15769,17274.27,18480
19,16124,17259.75,18901
20,16450,17308.77,18410
21,16260,17253.40,18737
22,16090,17326.71,19281
23,15934,17345.38,18767
24,16281,17258.97,18315
25,16130,17237.80,18643
26,16293,17348.07,19470
27,16206,17266.18,18708
28,16081,17262.39,19164
29,16321,17296.04,18826
30,16014,17338.89,18678
31,16120,17227.52,18590
32,16140,17285.00,19192
33,15986,17276.47,18713
34,16069,17379.75,19054
35,16307,17345.63,19141
36,16244,17300.99,18739
37,15800,17255.96,19063
38,16171,17259.93,18692
39,16357,17210.93,18478
40,16117,17253.18,18038
41,15859,17278.86,18894
42,16185,17268.65,18734
43,16069,17236.60,18789
44,15873,17320.23,19365
45,16257,17231.58,18495
46,16102,17250.73,18579
47,16106,17308.33,18943
48,16243,17327.03,18908
49,16359,17232.91,18692
50,16119,17336.13,18902
51,16232,17320.49,19538
52,16200,17234.22,19046
53,15833,17260.87,18914
54,16021,17296.24,19356
55,16329,17302.33,18414
56,16033,17301.87,19163
57,15888,17262.48,18472
58,16293,17256.16,19325
59,15977,17269.64,18464
60,15940,17305.40,18820
61,16150,17367.27,18791
62,15993,17212.58,18417
63,16294,17215.21,18490
64,16190,17253.88,18720
65,16011,17276.37,19110
66,16055,17342.87,18927
67,15833,17269.16,19058
68,16194,17298.00,18916
69,16336,17324.15,19187
70,15992,17165.50,18780
71,16130,17239.64,18596
72,16338,17304.05,19184
73,16043,17271.49,18745
74,16180,17304.32,19016
75,15736,17281.44,18559
76,16216,17355.51,19215
77,16094,17370.73,18902
78,16094,17183.47,18938
79,15767,17266.40,18899
80,16002,17262.32,18836
81,16123,17300.23,18627
82,15980,17182.73,18608
83,16103,17240.97,18640
84,16115,17313.54,19041
85,15788,17267.04,18976
86,16252,17241.63,18803
87,16297,17319.68,18828
88,16139,17208.30,18614
89,16294,17226.64,18732
90,16070,17221.22,19054
91,16282,17313.46,18579
92,16274,17249.62,18589
93,16127,17253.56,18779
94,16280,17262.16,18968
95,16331,17277.51,18636
96,16165,17343.12,18662
97,16092,17245.90,18697
98,15990,17335.07,18862
99,15942,17325.37,19376
