generation,best,average,worst
0,340300,356058.63,370208
1,345902,355820.52,366174
2,341225,355608.99,378137
3,338676,356071.89,371165
4,337261,355298.21,370274
5,344482,355706.51,368929
6,342773,355904.32,370211
7,340767,356098.80,374854
8,341631,355166.45,371971
9,340385,355080.19,369410
10,342408,356061.23,369538
11,341821,355409.29,368621
12,340068,355901.82,370095
13,341214,355342.63,368570
14,342941,357068.24,372912
15,341965,356110.99,372470
16,341655,356718.51,374180
17,338190,355737.56,372897
18,341217,356233.47,372968
19,344069,355522.03,370326
20,340577,355371.40,368811
21,339912,356039.25,372341
22,343681,355709.35,368258
23,343748,355849.75,371475
24,344850,355493.38,368850
25,343511,356046.43,374688
26,340926,356138.26,367498
27,343097,356833.54,371836
28,340043,356374.10,370292
29,337338,355416.70,366175
30,343944,355192.04,372330
31,335312,354596.13,372225
32,338958,356173.46,370383
33,342959,356363.41,374713
34,338374,354850.13,368201
35,342039,355934.72,369689
36,341758,355610.85,366955
37,343102,356052.04,370765
38,339158,356068.80,367919
39,340583,356558.53,368668
40,338414,355324.56,368493
41,336867,355335.62,368580
42,342044,356140.54,367456
43,339590,355230.80,371757
44,345616,356551.07,369232
45,342543,355348.65,368190
46,339325,355734.32,371477
47,341994,355394.24,369861
48,339594,356588.41,372219
49,343018,356671.32,370892
50,342565,355405.88,369919
51,341398,356351.36,370371
52,342507,355813.55,370391
53,341794,355650.81,368406
54,338885,355033.76,372734
55,336321,356006.83,372312
56,340244,355345.06,371907
57,344731,356021.87,372236
58,339648,355775.56,370016
59,341057,354901.04,367208
60,341487,356276.84,370765
61,342108,356167.61,376446
62,340553,356090.42,369006
63,343289,355186.26,369244
64,344076,355616.87,373362
65,343482,356049.17,370493
66,341186,355765.61,368961
67,342839,356364.27,372879
68,345688,356340.16,372738
69,343884,355527.19,377179
70,344579,355706.82,370138
71,336708,355114.21,370144
72,336711,355328.17,366483
73,345430,356637.04,372983
74,344837,356283.67,372848
75,337138,355346.92,369492
76,343538,356184.88,376155
77,336248,355853.06,372250
78,344105,356727.90,372487
79,344473,355565.96,367687
80,336461,355866.42,371968
81,346485,355958.75,369838
82,343082,356046.51,368747
83,342919,356864.17,369298
84,340587,356425.39,371480
85,343906,356390.05,373418
86,341044,356088.34,373543
87,339338,356246.58,372990
88,338499,355150.37,370916
89,344565,356114.83,372500
90,341493,355289.46,366084
91,342199,356371.94,372037
92,341517,354568.79,371478
93,344335,356898.24,369081
94,343226,355360.32,375803
95,340407,355892.80,374565
96,342089,355102.78,368285
97,341612,355934.31,368601
98,337894,355469.48,374048
99,342946,355843.84,372148
