generation,best,average,worst
0,23003,23003.00,23003
1,22032,22032.00,22032
2,21450,21450.00,21450
3,21284,21284.00,21284
4,21127,21127.00,21127
5,20976,20976.00,20976
6,20851,20851.00,20851
7,20713,20713.00,20713
8,20643,20643.00,20643
9,20580,20580.00,20580
10,20520,20520.00,20520
11,20465,20465.00,20465
12,20343,20343.00,20343
13,20270,20270.00,20270
14,20094,20094.00,20094
15,20092,20092.00,20092
16,20092,20096.00,20096
17,20054,20054.00,20054
18,20040,20040.00,20040
19,20040,20048.00,20048
20,20040,20064.00,20064
21,20040,20098.00,20098
22,20040,20093.00,20093
23,20040,20082.00,20082
24,20040,20060.00,20060
25,20040,20092.00,20092
26,20040,20124.00,20124
27,20040,20100.00,20100
28,20040,20124.00,20124
29,20040,20171.00,20171
30,20040,20175.00,20175
31,20040,20166.00,20166
32,20040,20170.00,20170
33,20040,20146.00,20146
34,20040,20121.00,20121
35,20040,20117.00,20117
36,20040,20105.00,20105
37,20040,20118.00,20118
38,20040,20138.00,20138
39,20040,20168.00,20168
40,20040,20179.00,20179
41,20040,20114.00,20114
42,19991,19991.00,19991
43,19962,19962.00,19962
44,19962,19986.00,19986
45,19962,19983.00,19983
46,19962,19980.00,19980
47,19962,20018.00,20018
48,19962,20052.00,20052
49,19962,20091.00,20091
50,19962,20093.00,20093
51,19962,20065.00,20065
