generation,best,average,worst
0,423943,435168.64,453769
1,421469,431859.13,449281
2,419996,429610.83,442901
3,418971,427643.19,445217
4,418971,425535.86,439628
5,418022,425111.87,440977
6,417723,424202.41,439926
7,416663,422223.17,435259
8,416663,421185.41,435409
9,416663,419623.91,432326
10,416485,420510.68,433207
11,416287,421062.11,432013
12,414748,420338.47,432556
13,414475,420067.41,435404
14,414475,419773.14,430868
15,413677,418221.03,437438
16,413677,417539.62,438315
17,413321,417549.12,428992
18,413321,416681.54,426029
19,413321,416529.44,425854
20,412894,415941.09,430807
21,412894,415291.57,428413
22,412503,413969.40,427472
23,412503,414169.53,425865
24,412503,412762.76,413321
25,412181,412536.34,413241
26,412181,412600.64,414845
27,412180,412575.63,415346
28,411843,412439.69,415138
29,411335,412395.91,416747
30,411335,411995.39,418893
31,410684,411787.32,415396
32,410684,411380.50,413882
33,410684,411388.47,415480
34,410460,411361.48,419602
35,410460,410778.87,413933
36,410460,410660.20,413456
37,410460,410572.94,415258
38,410460,410460.00,410460
39,410460,410464.51,410911
40,410349,410458.89,410460
41,410349,410494.56,414693
42,410349,410424.48,410460
43,410349,410370.27,410700
44,410349,410367.34,412183
45,410349,410452.79,420728
46,410349,410360.94,411543
47,410349,410349.00,410349
48,410349,410349.00,410349
49,410349,410349.00,410349
50,410349,410349.00,410349
51,410349,410349.00,410349
52,410349,410354.61,410910
53,410349,410349.00,410349
54,410349,410351.10,410559
55,410349,410357.38,411162
56,410349,410382.15,411884
57,410349,410351.30,410579
58,410349,410382.42,412158
59,410349,410357.81,411230
60,410349,410349.00,410349
61,410349,410374.67,412916
62,410349,410366.62,412111
63,410349,410349.00,410349
64,410349,410361.39,411375
65,410349,410369.53,412402
66,410349,410349.00,410349
67,409671,410342.22,410349
68,409671,410387.07,413991
69,409339,410412.95,413912
70,409339,410266.21,413003
71,409339,409852.60,413352
72,409339,409593.56,411987
73,409339,409371.36,411061
74,409269,409338.30,409339
75,409269,409384.17,412427
76,409269,409469.81,412453
77,409269,409292.52,410211
78,409269,409310.60,413429
79,409269,409269.00,409269
80,408488,409266.54,409804
81,408488,409245.59,409271
82,408476,409259.70,412440
83,408476,409069.18,412244
84,408476,408584.28,411781
85,408425,408480.17,408488
86,408425,408473.06,408488
87,408425,408469.28,409181
88,408425,408476.56,411079
89,407881,408443.33,409909
90,407881,408417.43,409557
91,407881,408458.64,411646
92,407881,408411.01,412164
93,407881,408006.65,410721
94,407383,407872.11,407881
95,407383,407909.77,411292
96,406982,407941.25,411897
97,406982,407665.39,412276
98,406982,407363.69,415434
99,406982,407001.06,408487
