generation,best,average,worst
0,32092,32092.00,32092
1,32028,32205.88,32569
2,32028,32239.90,32644
3,32028,32247.87,32706
4,32028,32246.60,32706
5,32028,32252.01,32706
6,32028,32252.65,32706
7,32028,32255.70,32716
8,32028,32253.38,32716
9,32012,32248.91,32727
10,32012,32239.03,32727
11,32012,32233.85,32727
12,32012,32228.63,32727
13,32012,32225.98,32727
14,32012,32222.63,32727
15,32012,32219.72,32727
16,32012,32221.49,32727
17,32012,32222.01,32727
18,32012,32222.95,32727
19,32012,32224.27,32727
20,32012,32222.39,32727
21,32012,32221.34,32727
22,32012,32220.29,32727
23,32012,32218.84,32770
24,31979,32217.54,32770
25,31979,32217.06,32770
26,31979,32216.04,32770
27,31979,32215.69,32770
28,31979,32214.75,32770
29,31979,32214.81,32770
30,31979,32214.52,32770
31,31979,32214.59,32770
32,31979,32216.87,32770
33,31979,32218.25,32770
34,31979,32219.78,32770
35,31979,32220.68,32770
36,31979,32220.30,32770
37,31979,32220.60,32770
38,31979,32220.97,32770
39,31979,32221.83,32770
40,31979,32221.51,32770
41,31979,32221.51,32770
