generation,best,average,worst
0,16158,17220.11,18684
1,16158,16856.04,18193
2,15869,16578.75,18018
3,15869,16431.33,17893
4,15404,16267.06,17191
5,15404,16135.06,17254
6,15404,16059.43,17239
7,15404,16006.20,17781
8,15404,15860.57,17479
9,15404,15661.75,16727
10,15396,15443.16,16392
11,15396,15412.32,16111
12,15396,15427.65,16230
13,15396,15411.35,16247
14,15396,15396.00,15396
15,15396,15398.94,15690
16,15396,15396.00,15396
17,15396,15396.00,15396
18,15396,15396.00,15396
19,15396,15405.30,15930
20,15396,15401.19,15915
21,15396,15396.00,15396
22,15396,15396.00,15396
23,15396,15396.00,15396
24,15396,15396.47,15443
25,15396,15402.37,15716
26,15396,15396.00,15396
27,15396,15401.03,15899
28,15396,15396.96,15492
29,15396,15408.15,16261
30,15396,15403.24,15716
31,15396,15404.60,16256
32,15396,15408.56,16256
33,15396,15396.00,15396
34,15396,15402.99,16095
35,15396,15396.02,15398
36,15396,15401.21,15917
37,15396,15396.23,15419
38,15396,15404.41,15843
39,15396,15396.00,15396
40,15396,15399.02,15698
41,15396,15396.00,15396
42,15396,15396.00,15396
43,15396,15396.00,15396
44,15396,15396.42,15438
45,15396,15400.80,15876
46,15396,15396.00,15396
47,15396,15400.47,15843
48,15396,15396.00,15396
49,15396,15400.68,15864
50,15396,15396.00,15396
51,15396,15398.80,15676
52,15396,15404.09,16205
53,15396,15396.96,15492
54,15396,15396.00,15396
55,15396,15396.00,15396
56,15396,15396.00,15396
57,15396,15396.75,15471
58,15396,15396.00,15396
59,15396,15396.00,15396
60,15396,15403.32,15864
61,15396,15406.75,15952
62,15396,15403.28,15975
63,15396,15400.91,15887
64,15396,15405.71,15971
65,15396,15396.00,15396
66,15396,15398.03,15599
67,15396,15396.00,15396
68,15349,15395.53,15396
69,15349,15405.27,15918
70,15349,15396.93,16111
71,15349,15354.17,15396
72,15349,15352.08,15657
73,15349,15349.00,15349
74,15349,15367.66,16312
75,15349,15353.51,15800
76,15349,15354.60,15754
77,15349,15354.10,15859
78,15349,15351.89,15509
79,15349,15349.18,15367
80,15349,15349.00,15349
81,15349,15356.40,16053
82,15349,15354.56,15905
83,15349,15357.22,16171
84,15349,15349.00,15349
85,15349,15355.45,15712
86,15349,15349.00,15349
87,15349,15349.00,15349
88,15349,15353.56,15745
89,15349,15355.43,15992
90,15349,15349.00,15349
91,15349,15349.00,15349
92,15349,15349.36,15385
93,15349,15354.65,15914
94,15349,15355.00,15868
95,15349,15350.55,15504
96,15349,15354.43,15892
97,15349,15349.00,15349
98,15349,15349.00,15349
99,15349,15355.33,15867
