generation,best,average,worst
0,22096,23880.25,25302
1,22096,23265.99,25127
2,21936,22832.20,24712
3,21701,22549.95,24650
4,21453,22501.51,25201
5,21251,22230.07,24350
6,21251,22300.65,24355
7,21251,22007.42,23644
8,21251,21897.51,23932
9,21251,21630.10,23560
10,21251,21355.18,22911
11,21251,21251.00,21251
12,21251,21255.20,21596
13,21251,21251.00,21251
14,21251,21251.00,21251
15,21251,21261.36,22287
16,21251,21251.00,21251
17,21251,21251.00,21251
18,21251,21251.00,21251
19,21251,21257.91,21940
20,21251,21257.50,21901
21,21251,21251.00,21251
22,21251,21251.00,21251
23,21251,21251.00,21251
24,21251,21251.70,21321
25,21251,21256.11,21588
26,21251,21251.00,21251
27,21251,21256.52,21803
28,21251,21253.14,21465
29,21139,21249.17,21256
30,21139,21249.44,21588
31,21139,21259.13,22597
32,21078,21224.51,22359
33,20852,21247.48,22707
34,20852,21197.74,24008
35,20841,21102.63,23049
36,20841,21019.40,22707
37,20841,20902.64,23049
38,20841,20861.29,21414
39,20841,20841.00,20841
40,20841,20843.49,21090
41,20841,20841.00,20841
42,20841,20841.00,20841
43,20841,20841.00,20841
44,20802,20840.61,20841
45,20802,20845.10,21168
46,20802,20843.30,21409
47,20802,20816.03,21402
48,20802,20802.00,20802
49,20802,20803.02,20904
50,20802,20802.00,20802
51,20802,20823.91,22993
52,20802,20814.74,22076
53,20802,20805.06,21108
54,20802,20802.00,20802
55,20802,20802.00,20802
56,20802,20802.00,20802
57,20802,20802.22,20824
58,20802,20802.00,20802
59,20802,20802.00,20802
60,20784,20811.64,21777
61,20784,20839.14,24016
62,20784,20823.95,22122
63,20784,20808.40,21795
64,20784,20791.01,21442
65,20784,20784.00,20784
66,20784,20789.75,21359
67,20784,20784.00,20784
68,20773,20783.89,20784
69,20773,20817.44,23158
70,20773,20785.73,21052
71,20773,20774.21,20784
72,20773,20781.24,21597
73,20773,20773.00,20773
74,20773,20778.06,21047
75,20773,20777.24,21197
76,20773,20778.22,21068
77,20773,20775.62,21035
78,20773,20777.85,21235
79,20773,20773.59,20832
80,20773,20773.00,20773
81,20773,20787.08,22069
82,20731,20772.58,20773
83,20731,20782.16,21456
84,20731,20831.24,22049
85,20686,20883.63,23017
86,20686,20800.21,22049
87,20686,20833.75,21929
88,20686,20783.85,22014
89,20686,20722.32,21675
90,20686,20686.00,20686
91,20686,20686.00,20686
92,20686,20686.23,20709
93,20686,20691.05,21191
94,20686,20704.24,22099
95,20686,20688.80,20966
96,20686,20709.89,23075
97,20686,20686.00,20686
98,20686,20686.00,20686
99,20686,20692.68,21187
