instance,method,rep,bestFitness,avgFitness,worstFitness,evaluations,timeMs,populationSize,generations,mutationProb,crossoverProb,tournamentSize,tabuSize
tai100_20_0,TS,9,421851,421851.00,421851,9900,218.102,100,100,0.010,0.700,5,7
tai500_20_0,Greedy,0,8104301,8104301.00,8104301,500,3410.482,100,100,0.010,0.700,5,7
tai500_20_0,RandomSearch,0,7616280,0.00,8060127,10000,868.723,100,100,0.010,0.700,5,7
tai500_20_0,RandomSearch,1,7598570,0.00,8054993,10000,856.851,100,100,0.010,0.700,5,7
tai500_20_0,RandomSearch,2,7633781,0.00,8130244,10000,944.283,100,100,0.010,0.700,5,7
tai500_20_0,RandomSearch,3,7610444,0.00,8048332,10000,878.514,100,100,0.010,0.700,5,7
tai500_20_0,RandomSearch,4,7631819,0.00,8048852,10000,951.478,100,100,0.010,0.700,5,7
tai500_20_0,RandomSearch,5,7603451,0.00,8049266,10000,845.587,100,100,0.010,0.700,5,7
tai500_20_0,RandomSearch,6,7603355,0.00,8012487,10000,839.509,100,100,0.010,0.700,5,7
tai500_20_0,RandomSearch,7,7604663,0.00,8071510,10000,819.672,100,100,0.010,0.700,5,7
tai500_20_0,RandomSearch,8,7621743,0.00,8034360,10000,815.371,100,100,0.010,0.700,5,7
tai500_20_0,RandomSearch,9,7609093,0.00,8039098,10000,908.152,100,100,0.010,0.700,5,7
tai500_20_0,GA,0,7544441,7544441.00,7544441,10000,783.194,100,100,0.010,0.700,5,7
tai500_20_0,GA,1,7463269,7463269.00,7463269,10000,850.779,100,100,0.010,0.700,5,7
tai500_20_0,GA,2,7528222,7532083.84,7556447,10000,790.699,100,100,0.010,0.700,5,7
tai500_20_0,GA,3,7481823,7482164.76,7482179,10000,801.862,100,100,0.010,0.700,5,7
tai500_20_0,GA,4,7487771,7487771.00,7487771,10000,741.751,100,100,0.010,0.700,5,7
tai500_20_0,GA,5,7486762,7498134.77,7521690,10000,800.795,100,100,0.010,0.700,5,7
tai500_20_0,GA,6,7522535,7526944.40,7550520,10000,779.575,100,100,0.010,0.700,5,7
tai500_20_0,GA,7,7487766,7489742.68,7498762,10000,797.175,100,100,0.010,0.700,5,7
tai500_20_0,GA,8,7493416,7493416.00,7493416,10000,856.849,100,100,0.010,0.700,5,7
tai500_20_0,GA,9,7506474,7506511.09,7510183,10000,778.531,100,100,0.010,0.700,5,7
tai500_20_0,TS,0,7723447,7723447.00,7723447,124750,9373.194,100,100,0.010,0.700,5,7
tai500_20_0,TS,1,7787054,7787054.00,7787054,124750,9561.144,100,100,0.010,0.700,5,7
tai500_20_0,TS,2,7820074,7820074.00,7820074,124750,9243.361,100,100,0.010,0.700,5,7
tai500_20_0,TS,3,7782678,7782678.00,7782678,124750,9546.852,100,100,0.010,0.700,5,7
tai500_20_0,TS,4,7710622,7710622.00,7710622,124750,9068.792,100,100,0.010,0.700,5,7
tai500_20_0,TS,5,7790962,7790962.00,7790962,124750,9023.261,100,100,0.010,0.700,5,7
tai500_20_0,TS,6,7750060,7750060.00,7750060,124750,9414.843,100,100,0.010,0.700,5,7
tai500_20_0,TS,7,7776160,7776160.00,7776160,124750,10803.545,100,100,0.010,0.700,5,7
tai500_20_0,TS,8,7817272,7817272.00,7817272,124750,11898.566,100,100,0.010,0.700,5,7
tai500_20_0,TS,9,7677330,7677330.00,7677330,124750,9730.953,100,100,0.010,0.700,5,7
