generation,best,average,worst
0,33491,36149.46,38517
1,34510,36108.72,38353
2,34042,36190.92,38487
3,34356,36272.38,38309
4,34339,36261.07,38202
5,34151,36215.90,38586
6,34372,36091.22,38103
7,34184,36140.82,38315
8,34173,36123.74,38031
9,34018,36281.61,38581
10,33900,36345.16,38617
11,34128,36172.08,37776
12,34033,36261.88,38220
13,34430,36115.27,38299
14,33976,36262.98,38274
15,34159,35970.01,37969
16,33846,36236.67,38557
17,34421,36307.24,38486
18,34583,36247.77,38389
19,34557,36338.06,38667
20,34128,36108.75,38297
21,34328,36213.15,38778
22,34290,36276.90,38403
23,34188,36219.25,38340
24,33598,36142.53,38503
25,34374,36270.17,38702
26,33877,36216.57,37860
27,33858,36202.96,38320
28,34459,36134.08,38188
29,33918,35987.83,38541
30,34405,36150.19,38461
31,33822,36366.93,38366
32,34524,36141.12,38230
33,34565,36299.04,39156
34,34195,36156.14,38147
35,33930,36084.38,38578
36,33938,36183.99,37904
37,33603,36105.62,38283
38,34104,36301.43,38281
39,34675,36325.11,38625
40,34171,36037.38,38137
41,34359,36309.50,38417
42,34454,36296.16,38367
43,34490,36256.35,38391
44,34154,36137.61,38105
45,34205,36284.22,38342
46,33584,36329.79,38485
47,34154,35927.78,38181
48,33897,36123.99,38764
49,33866,36235.18,38361
50,34083,36308.87,38839
51,33996,36159.82,38192
52,34024,36193.33,38378
53,34535,36232.89,38031
54,34291,36034.95,37918
55,33990,36222.60,37757
56,34322,36193.72,38120
57,34410,36157.53,38415
58,34289,36202.25,38062
59,33812,36271.41,38276
60,34347,36162.15,37913
61,34374,36183.48,38051
62,34060,36088.56,37857
63,33999,36240.43,38875
64,34157,36258.96,38115
65,34472,36045.54,38437
66,34322,36147.20,37854
67,34090,36200.50,38273
68,34435,36063.53,37854
69,33993,36182.61,38425
70,34207,36345.60,38304
71,34194,36214.41,38971
72,34175,36179.13,38239
73,34293,36111.89,38458
74,34623,36321.05,38431
75,33712,36099.33,38524
76,34487,36268.17,38175
77,33880,36111.93,38716
78,34439,36007.22,38625
79,34492,36172.39,38228
80,34034,36125.90,38095
81,33942,36258.85,38390
82,34120,36154.95,38355
83,34251,36266.96,38449
84,34165,35986.27,38281
85,33875,36190.17,38173
86,34127,36214.51,38409
87,34003,36175.07,38231
88,34061,36082.23,38148
89,34707,36246.09,38354
90,34330,36124.95,38332
91,34200,36155.56,38115
92,34258,36187.08,38498
93,34234,36272.01,38561
94,34517,36135.46,38868
95,33574,36144.73,38714
96,34144,36302.16,38243
97,34139,36220.74,38014
98,33983,36107.72,37908
99,34025,36235.51,38078
