generation,best,average,worst
0,34594,34594.00,34594
1,33908,33908.00,33908
2,33608,33608.00,33608
3,33297,33297.00,33297
4,33083,33083.00,33083
5,32881,32881.00,32881
6,32773,32773.00,32773
7,32673,32673.00,32673
8,32636,32636.00,32636
9,32619,32619.00,32619
10,32546,32546.00,32546
11,32546,32553.00,32553
12,32521,32521.00,32521
13,32507,32507.00,32507
14,32482,32482.00,32482
15,32482,32492.00,32492
16,32482,32496.00,32496
17,32468,32468.00,32468
18,32467,32467.00,32467
19,32454,32454.00,32454
20,32454,32492.00,32492
21,32384,32384.00,32384
22,32384,32407.00,32407
23,32384,32447.00,32447
24,32384,32465.00,32465
25,32384,32457.00,32457
26,32384,32455.00,32455
27,32384,32489.00,32489
28,32384,32493.00,32493
29,32384,32507.00,32507
30,32384,32520.00,32520
31,32384,32538.00,32538
32,32384,32510.00,32510
33,32384,32536.00,32536
34,32384,32541.00,32541
35,32384,32558.00,32558
36,32384,32528.00,32528
37,32384,32531.00,32531
38,32384,32522.00,32522
39,32384,32507.00,32507
40,32384,32513.00,32513
41,32384,32514.00,32514
42,32384,32508.00,32508
43,32384,32500.00,32500
44,32384,32499.00,32499
45,32384,32449.00,32449
46,32384,32463.00,32463
47,32384,32384.00,32384
48,32384,32398.00,32398
49,32384,32423.00,32423
50,32384,32453.00,32453
51,32384,32487.00,32487
