generation,best,average,worst
0,423943,435168.64,453769
1,421877,435268.50,447424
2,424111,435583.42,455090
3,423186,435302.43,448984
4,416316,434386.86,447225
5,422017,435852.55,449398
6,424313,434393.71,449409
7,421381,435129.49,447501
8,424253,435682.59,449496
9,423644,436060.43,451563
10,422193,435428.93,448418
11,423617,435625.08,451310
12,425358,435278.84,447870
13,424387,435564.53,450447
14,422656,434414.89,449144
15,422051,435502.00,455087
16,423429,435331.22,448874
17,421557,435138.82,452367
18,423734,433967.87,448618
19,422514,435214.47,446751
20,423319,434723.50,455754
21,420462,436500.70,449897
22,421744,434782.93,450625
23,424276,434755.21,448500
24,423925,436071.75,446290
25,421686,436539.90,454255
26,419781,435241.05,446119
27,424814,436144.54,451087
28,423628,434495.23,447521
29,421490,435169.64,446558
30,422676,436212.89,457336
31,418581,435343.34,451329
32,424474,435298.05,448880
33,423057,434923.98,448026
34,420187,435160.00,453554
35,424614,434805.29,449271
36,425087,435257.38,447998
37,421043,434848.19,450189
38,420234,435267.81,451663
39,420004,434921.56,448415
40,418849,434625.39,448149
41,423330,435864.61,461317
42,426188,435987.96,449745
43,423165,435993.51,450897
44,419368,435175.07,447891
45,422800,435746.58,449061
46,423605,434276.25,450344
47,424961,436357.78,452298
48,424470,435241.73,446817
49,423642,434758.98,451562
50,422860,436251.04,449727
51,423845,435459.28,450476
52,421966,436019.09,455897
53,423651,436417.68,459078
54,421825,435364.69,449931
55,421164,435313.95,451856
56,422872,434849.57,449515
57,420573,434605.03,447013
58,421935,435574.01,451682
59,422737,435601.49,453464
60,421266,434703.61,456723
61,421256,435502.44,450450
62,424563,435124.21,451218
63,423495,435779.46,451978
64,423180,435239.26,448008
65,422018,435376.40,453288
66,424150,435838.71,451643
67,419764,435485.29,450580
68,425813,435171.45,452179
69,425736,435367.12,456770
70,424108,435974.24,449504
71,421789,435064.74,448822
72,424985,435629.20,448551
73,423744,435302.11,452034
74,423941,434398.03,448433
75,421433,435943.57,454624
76,421774,434373.12,451540
77,424191,435364.48,450218
78,422898,436329.41,454015
79,423388,434955.76,452298
80,422198,435782.89,455977
81,423279,434442.23,445002
82,416137,435958.72,450185
83,424144,435770.58,450015
84,423864,435180.74,448955
85,423188,436091.03,447725
86,420162,436544.79,450953
87,419425,434323.92,446621
88,421993,434944.84,448360
89,418549,434952.91,448601
90,416535,435520.09,453941
91,422459,435538.33,450292
92,422698,435061.76,448072
93,422657,434977.62,450451
94,421563,434602.16,450209
95,420952,435709.87,449255
96,423870,435189.19,451757
97,422464,435518.16,453746
98,419848,435091.03,450452
99,419133,435255.86,450136
