generation,best,average,worst
0,20100,20100.00,20100
1,19916,20061.92,20321
2,19884,20050.10,20389
3,19884,20046.97,20389
4,19884,20047.60,20389
5,19884,20053.33,20422
6,19884,20053.51,20492
7,19884,20054.98,20492
8,19884,20053.40,20492
9,19884,20051.87,20492
10,19884,20050.79,20492
11,19884,20051.66,20492
12,19884,20053.37,20649
13,19884,20053.86,20649
14,19884,20055.16,20649
15,19884,20053.90,20649
16,19884,20056.04,20649
17,19884,20055.92,20649
18,19884,20055.82,20649
19,19884,20056.93,20649
20,19884,20055.60,20649
21,19884,20055.50,20649
22,19884,20056.11,20649
23,19884,20055.23,20649
24,19884,20054.70,20649
25,19884,20054.53,20649
26,19884,20053.46,20649
27,19884,20052.56,20649
28,19884,20052.13,20649
29,19884,20052.73,20649
30,19884,20053.24,20649
31,19884,20054.12,20649
32,19884,20053.42,20649
33,19884,20053.15,20649
34,19884,20052.20,20649
35,19884,20052.47,20649
36,19884,20052.25,20649
37,19884,20052.38,20649
38,19884,20051.92,20649
39,19884,20051.35,20649
40,19884,20051.19,20649
41,19884,20051.19,20649
